gage_id,gage_name,gage_latitude,gage_longitude
01426500,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,42.00302778,-75.38352778
01427207,DELAWARE RIVER AT LORDVILLE NY,41.86727778,-75.21375
01427510,DELAWARE RIVER AT CALLICOON NY,41.75675,-75.0574167
01428500,DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,41.50875,-74.9860556
01432055,"Lackawaxen River near Baoba, PA",41.46941667,-75.1089444
01432110,"Lackawaxen River at Rowland, PA",41.4759228,-75.036281
01432160,DELAWARE RIVER AT BARRYVILLE NY,41.4748333,-74.91325
01434000,DELAWARE RIVER AT PORT JERVIS NY,41.3705833,-74.69713889
01438500,Delaware River at Montague NJ,41.30916667,-74.79527778
01440200,Delaware River near Delaware Water Gap Pa,41.01333333,-75.08611111
01446500,Delaware River at Belvidere NJ,40.82638889,-75.0825
01446995,Delaware River at US Route 22 at Phillipsburg NJ,40.69444444,-75.20333333
01451000,"Lehigh River at Walnutport, PA",40.7570395,-75.60296388
01453000,"Lehigh River at Bethlehem, PA",40.6153761,-75.3787914
01454700,"Lehigh River at Glendon, PA",40.6692656,-75.23628808
01457500,Delaware River at Riegelsville NJ,40.59472222,-75.18972222
01458500,Delaware River at Frenchtown NJ,40.52611111,-75.065
01461500,Delaware River at Stockton NJ,40.40277778,-74.97944444
01462000,Delaware River at Lambertville NJ,40.36472222,-74.94888889
01462500,Delaware River at Washington Crossing NJ,40.295,-74.86805556
01463500,Delaware River at Trenton NJ,40.22166667,-74.77805556
01467200,"Delaware River at Penn's Landing, Philadelphia, PA",39.946402,-75.1393603
01470500,"Schuylkill River at Berne, PA",40.5225932,-75.99826819
01471510,"Schuylkill River at Reading, PA",40.3353611,-75.9368333
01472000,"Schuylkill River at Pottstown, PA",40.2417631,-75.6515752
01473000,"Perkiomen Creek at Graterford, PA",40.22954725,-75.451567
01473500,"Schuylkill River at Norristown, PA",40.11555556,-75.3561111
01473730,"Schuylkill River at Conshohocken, PA",40.0706655,-75.3096279
01473800,"Schuylkill River at Manayunk, Philadelphia, PA",40.02623889,-75.227925
01474000,"Wissahickon Creek at Mouth, Philadelphia, PA",40.0152903,-75.2068343
01474501,"Schuylkill River near 30th St at Philadelphia, PA",39.95663889,-75.1803056
01500500,SUSQUEHANNA RIVER AT UNADILLA NY,42.3215,-75.31638889
01502632,SUSQUEHANNA RIVER AT BAINBRIDGE NY,42.2918333,-75.47677778
01502731,SUSQUEHANNA RIVER AT WINDSOR NY,42.07405556,-75.6369444
01503000,SUSQUEHANNA RIVER AT CONKLIN NY,42.03555556,-75.80227778
01512500,CHENANGO RIVER NEAR CHENANGO FORKS NY,42.21805556,-75.84813889
01513500,SUSQUEHANNA RIVER AT VESTAL NY,42.09166667,-76.05652778
01513831,SUSQUEHANNA RIVER AT OWEGO NY,42.09613889,-76.2656944
01515000,SUSQUEHANNA RIVER NEAR WAVERLY NY,41.98494444,-76.50125
01531500,"Susquehanna River at Towanda, PA",41.76535278,-76.4407743
01533400,"Susquehanna River at Meshoppen, PA",41.60729826,-76.0502031
01536500,"Susquehanna River at Wilkes-Barre, PA",41.2509149,-75.8807518
01538700,"Susquehanna River at Bloomsburg, PA",40.9939757,-76.4399451
01540500,"Susquehanna River at Danville, PA",40.95814218,-76.6191222
01541200,"WB Susquehanna River near Curwensville, PA",40.9614471,-78.5191906
01541303,"West Branch Susquehanna River at Hyde, PA",41.00450158,-78.4566886
01541500,"Clearfield Creek at Dimeling, PA",40.97172406,-78.4058533
01542500,"WB Susquehanna River at Karthaus, PA",41.11755906,-78.108896
01545500,"West Branch Susquehanna River at Renovo, PA",41.32367797,-77.7499869
01545800,"WB Susquehanna River at Lock Haven, PA",41.13806266,-77.44190088
01549760,"WB Susquehanna River at Jersey Shore, PA",41.20222816,-77.251061
01551500,"WB Susquehanna River at Williamsport, PA",41.23611599,-76.996608
01553025,"West Branch Susquehanna River at Allenwood, PA",41.10805556,-76.89
01553240,"W Br Susquehanna River at West Milton, PA",41.01861775,-76.8649381
01553500,"West Branch Susquehanna River at Lewisburg, PA",40.96750719,-76.8763277
01553990,"Susquehanna River above Dam at Sunbury, PA",40.8527859,-76.8024369
01554000,"Susquehanna River at Sunbury, PA",40.8345293,-76.8266349
01559000,"Juniata River at Huntingdon, PA",40.48473768,-78.0188672
01562000,"Raystown Branch Juniata River at Saxton, PA",40.21585246,-78.2652653
01563200,"Rays Br Juniata R bl Rays Dam nr Huntingdon, PA",40.42896398,-77.9911135
01563500,"Juniata River at Mapleton Depot, PA",40.39229876,-77.93499988
01564895,"Juniata River at Lewistown, PA",40.59451734,-77.5824931
01567000,"Juniata River at Newport, PA",40.47841677,-77.1291484
01570000,"Conodoguinet Creek near Hogestown, PA",40.2522222,-77.0211111
01570500,"Susquehanna River at Harrisburg, PA",40.25473717,-76.8860538
01573600,"Swatara Creek at Middletown, PA",40.1925531,-76.7279083
01576000,"Susquehanna River at Marietta, PA",40.0545413,-76.5307992
01610000,"POTOMAC RIVER AT PAW PAW, WV",39.5388611,-78.4556111
01613000,"POTOMAC RIVER AT HANCOCK, MD",39.69755556,-78.17788889
01618000,"POTOMAC RIVER AT SHEPHERDSTOWN, WV",39.4347222,-77.80138889
01620000,"POTOMAC RIVER AT HARPERS FERRY, WV",39.32375,-77.7281944
01629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",38.6462305,-78.5347329
01631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",38.91400059,-78.21083388
01636500,"SHENANDOAH RIVER AT MILLVILLE, WV",39.28204576,-77.7891606
01636765,"POTOMAC RIVER AT BURKITTSVILLE RD AT BRUNSWICK, MD",39.30886944,-77.63098889
01638500,"POTOMAC RIVER AT POINT OF ROCKS, MD",39.2735833,-77.5431111
01643580,"MONOCACY RIVER NEAR DICKERSON, MD",39.2633972,-77.4357417
01644148,"POTOMAC RIVER AT EDWARDS FERRY NEAR POOLESVILLE,MD",39.09863889,-77.47125
01668000,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",38.30846178,-77.52915268
02019500,"JAMES RIVER AT BUCHANAN, VA",37.53068995,-79.6789281
02024750,"JAMES RIVER AT BEDFORD DAM NR MAJOR, VA",37.57983127,-79.3763942
02024752,"JAMES RIVER AT BLUE RIDGE PKWY NR BIG ISLAND, VA",37.55541524,-79.3672547
02025500,"JAMES RIVER AT HOLCOMB ROCK, VA",37.5012508,-79.2625287
02026000,"JAMES RIVER AT BENT CREEK, VA",37.5362539,-78.8294611
02029000,"JAMES RIVER AT SCOTTSVILLE, VA",37.7973651,-78.491398
02035000,"JAMES RIVER AT CARTERSVILLE, VA",37.67097957,-78.0858328
02037500,"JAMES RIVER NEAR RICHMOND, VA",37.5632022,-77.5469314
02041650,"APPOMATTOX RIVER AT MATOACA, VA",37.2251505,-77.475263
02075500,"DAN RIVER AT PACES, VA",36.64236056,-79.089459
02076000,"DAN RIVER AT SOUTH BOSTON, VA",36.6932222,-78.9004167
02079500,"ROANOKE RIVER AT BUGGS ISLAND, VA",36.60319824,-78.2977743
02080500,"ROANOKE RIVER AT ROANOKE RAPIDS, NC",36.46,-77.6336111
0208062765,"ROANOKE RIVER AT HALIFAX, NC",36.3311111,-77.58027778
02081000,"ROANOKE RIVER NEAR SCOTLAND NECK, NC",36.20916667,-77.38388889
02081054,"ROANOKE RIVER AT WILLIAMSTON, NC",35.8597222,-77.04027778
02081094,"ROANOKE RIVER AT JAMESVILLE, NC",35.81305556,-76.89277778
0208114150,"ROANOKE RIVER AT NC 45 NR WESTOVER, NC",35.915,-76.72277778
02083500,"TAR RIVER AT TARBORO, NC",35.89444444,-77.5330556
02084000,"TAR RIVER AT GREENVILLE, NC",35.61666667,-77.37277778
02087500,"NEUSE RIVER NEAR CLAYTON, NC",35.6472222,-78.4052778
02087570,"NEUSE RIVER AT SMITHFIELD, NC",35.5125,-78.3494444
02089500,"NEUSE RIVER AT KINSTON, NC",35.25777778,-77.5855556
02091814,"NEUSE RIVER NEAR FORT BARNWELL, NC",35.31388889,-77.30277778
02096960,"HAW RIVER NEAR BYNUM, NC",35.76527778,-79.1358333
02098206,"HAW RIVER NEAR MONCURE, NC",35.6322222,-79.06
02100500,"DEEP RIVER AT RAMSEUR, NC",35.72638889,-79.6555556
02102000,"DEEP RIVER AT MONCURE, NC",35.62694444,-79.1161111
02102500,"CAPE FEAR RIVER AT LILLINGTON, NC",35.4061111,-78.8133333
02104000,"CAPE FEAR RIVER AT FAYETTEVILLE, NC",35.0497222,-78.85638889
02105500,"CAPE FEAR R AT WILM O HUSKE LOCK NR TARHEEL, NC",34.83555556,-78.8236111
02105769,"CAPE FEAR R AT LOCK 1 NR KELLY, NC",34.40444444,-78.2936111
02116500,"YADKIN RIVER AT YADKIN COLLEGE, NC",35.85666667,-80.3869444
0212378405,"PEE DEE R AT HWY731 BL LK TILLERY NR NORWOOD, NC",35.20066667,-80.0618056
02126000,"ROCKY RIVER NEAR NORWOOD, NC",35.1569972,-80.1657722
02126375,"PEE DEE R AT PEE DEE REFUGE NR ANSONVILLE, NC",35.10321667,-80.0459333
0212880025,"PEE DEE RIVER BELOW POWERHOUSE DAM NR PEE DEE, NC",34.9834833,-79.8775806
02129000,"PEE DEE R NR ROCKINGHAM, NC",34.9458333,-79.8697222
02129375,"PEE DEE RIVER ABOVE JONES CREEK NEAR CORDOVA, NC",34.8662583,-79.878925
02130000,"PEE DEE RIVER AT CHERAW, SC",34.70848979,-79.8761747
02130561,"PEE DEE RIVER NR BENNETTSVILLE, SC",34.60626798,-79.7883963
02130810,"PEE DEE RIVER NEAR FLORENCE, SC",34.30027778,-79.6344444
02131000,"PEE DEE RIVER AT PEEDEE, SC",34.20432518,-79.5483896
02131010,"PEE DEE RIVER BELOW PEE DEE, SC",34.15738145,-79.5533904
02131210,"PEE DEE RIVER AT US378 ABOVE POSTON, SC",33.9035833,-79.4358056
02135200,"PEE DEE RIVER AT HWY 701 NR BUCKSPORT, SC",33.6610024,-79.1544874
02136070,"BLACK RIVER AT SC51 NEAR RHEMS, SC",33.54719444,-79.4015
02136270,"BLACK RIVER NEAR DUNBAR, SC",33.5485833,-79.3603333
02136300,"BLACK RIVER NEAR PLANTERSVILLE, SC",33.48025,-79.2720833
02145910,"CATAWBA RIVER BL LAKE WYLIE DAM FEWELL ISLAND, SC",35.01641944,-81.00156389
02146000,"CATAWBA RIVER NEAR ROCK HILL, SC",34.98486935,-80.9739658
02147020,"CATAWBA RIVER BELOW CATAWBA, SC",34.83625705,-80.879518
02147310,"CATAWBA RIVER AT GREAT FALLS, SC",34.59805556,-80.8905556
02147801,"LAKE WATEREE TAILRACE ABOVE CAMDEN, SC",34.3320798,-80.69842699
02151500,"BROAD RIVER NEAR BOILING SPRINGS, NC",35.21126667,-81.69843056
02153200,"BROAD RIVER NEAR BLACKSBURG, SC",35.12401728,-81.58787199
02156500,"BROAD RIVER NEAR CARLISLE, SC",34.5951393,-81.4212089
02161000,"BROAD RIVER AT ALSTON, SC",34.24320335,-81.319541
02162035,"BROAD RIVER NEAR COLUMBIA, SC",34.0483333,-81.0733333
021630005,"SALUDA RIVER BELOW PELZER, SC",34.63838889,-82.4498056
02163001,"SALUDA RIVER NEAR WILLIAMSTON, SC",34.6148366,-82.44401468
02163500,"SALUDA RIVER NEAR WARE SHOALS, SC",34.39178518,-82.22345068
02166501,"LAKE GREENWOOD TAILRACE NR CHAPPELLS, SC",34.16763036,-81.9078923
02167000,"SALUDA RIVER AT CHAPPELLS, SC",34.17457619,-81.864002
02168504,"SALUDA RIVER BELOW LK MURRAY DAM NR COLUMBIA, SC",34.0509822,-81.2095418
02169000,"SALUDA RIVER NEAR COLUMBIA, SC",34.0140416,-81.0878717
02169500,"CONGAREE RIVER AT COLUMBIA, SC",33.99320985,-81.049815
021695075,"CONGAREE RIVER BELOW CAYCE, SC",33.93238889,-81.0173333
02169625,"CONGAREE RIVER AT CONGAREE NP NEAR GADSDEN, SC",33.81071,-80.8670348
02169750,"CONGAREE RIVER AT U.S. HWY 601 NR. FORT MOTTE, SC",33.7530732,-80.6449766
02171500,"SANTEE RIVER NEAR PINEVILLE, SC",33.45377778,-80.1413611
02171560,"SANTEE RIVER NEAR RUSSELLVILLE, SC",33.49405569,-79.9603544
02171645,"REDIV CANAL AT SANTEE RIVER NR ST STEPHEN, SC",33.4275,-79.915
02171700,"SANTEE RIVER NR JAMESTOWN, SC",33.3048893,-79.6781263
02172002,"LAKE MOULTRIE TAILRACE CANAL AT MONCKS CORNER, SC",33.21491667,-79.9749167
02175000,"EDISTO RIVER NR GIVHANS, SC",33.02794645,-80.3914876
02175025,"EDISTO RIVER BELOW JACKSONBORO, SC",32.75394444,-80.4501667
02177000,"CHATTOOGA RIVER NEAR CLAYTON, GA",34.81377778,-83.3063611
02192000,"BROAD RIVER NEAR BELL, GA",33.97263889,-82.7708611
02195520,"SAVANNAH RIVER NEAR EVANS, GA",33.5928611,-82.1232222
021963601,"STEVENS CREEK AT WOODLAWN RD NR MURPHY VILLAGE, SC",33.6111111,-82.0286111
02196670,"SAVANNAH RIVER JEFFERSON DAVIS BR, AT AUGUSTA, GA",33.4793333,-81.96338889
021973269,"SAVANNAH RIVER NEAR WAYNESBORO, GA",33.1503611,-81.7540833
02197500,"SAVANNAH R AT BURTONS FERRY BR NR MILLHAVEN, GA",32.93644444,-81.5025278
02198500,"SAVANNAH RIVER NEAR CLYO, GA",32.52855556,-81.2683333
02210500,"OCMULGEE RIVER NEAR JACKSON, GA",33.3126111,-83.8373611
02212735,"OCMULGEE RIVER AT GA 18, AT DAMES FERRY, GA",33.0168611,-83.7271944
02213000,"OCMULGEE RIVER AT MACON, GA",32.8386111,-83.6205556
02214265,"OCMULGEE RIVER AT GA 96, NEAR BONAIRE, GA",32.54261111,-83.53658333
02215000,"OCMULGEE RIVER AT US 341, AT HAWKINSVILLE, GA",32.283,-83.4623056
02215260,"OCMULGEE RIVER AT ABBEVILLE, GA",31.99666667,-83.2790278
02215500,"OCMULGEE RIVER AT LUMBER CITY, GA",31.91991667,-82.6740556
02218300,"OCONEE RIVER NEAR PENFIELD, GA",33.72069444,-83.2956111
02223000,"OCONEE RIVER AT MILLEDGEVILLE, GA",33.09016667,-83.2147778
02223056,"OCONEE RIVER AT AVANT MINE, NEAR OCONEE, GA",32.93933333,-83.0669722
02223248,"OCONEE RIVER NEAR OCONEE, GA",32.7877222,-82.9569167
02223500,"OCONEE RIVER AT DUBLIN, GA",32.54394444,-82.8929722
02224500,"OCONEE RIVER NEAR MOUNT VERNON, GA",32.19091667,-82.6310278
02224940,"ALTAMAHA RIVER AT US 221, NR CHARLOTTEVILLE, GA",31.9578611,-82.5170278
02225000,"ALTAMAHA RIVER NEAR BAXLEY, GA",31.9395,-82.35338889
02226000,"ALTAMAHA RIVER AT DOCTORTOWN, GA",31.65466667,-81.8275
02226160,"ALTAMAHA RIVER NEAR EVERETT CITY, GA",31.4268611,-81.6051111
02228000,"SATILLA RIVER AT ATKINSON, GA",31.21958333,-81.8664444
02232000,"ST. JOHNS RIVER NEAR MELBOURNE, FL",28.08473879,-80.752001
02232400,"ST. JOHNS RIVER NEAR COCOA, FL",28.36972837,-80.8725578
02234000,"ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL",28.7141611,-81.0353374
02236000,"ST. JOHNS RIVER NEAR DE LAND, FL",29.00831827,-81.3825651
02312500,"WITHLACOOCHEE RIVER AT CROOM, FL",28.5927714,-82.222032
02312558,"WITHLACOOCHEE RIVER AT NOBLETON, FL",28.644436,-82.25703368
02312598,"WITHLACOOCHEE RIVER NR PINEOLA, FL",28.7241557,-82.2423118
02312600,"WITHLACOOCHEE RIVER NEAR FLORAL CITY, FL",28.74359973,-82.2200892
02312722,"WITHLACOOCHEE RIVER NR RUTLAND, FL",28.85192929,-82.2209241
02312762,"WITHLACOOCHEE RIVER NEAR INVERNESS, FL",28.91220435,-82.2800934
02313000,"WITHLACOOCHEE RIVER AT SR 200 NEAR HOLDER, FL",28.98886759,-82.3495406
