reach_id,n_gauges,upstream_gauge_id,onreach_gauge_id,downstream_gauge_id,max_span_km,river_name,lat,lon,fimbench_id,fimbench_tier,n_fimbench,fimbench_huc8,up_dist_km,dn_dist_km,all_gauge_ids,swot_obs,mean_width_m,iris_slope_m_per_m,iris_slope_source,hand_runnable,has_iris,full_stack
73220500011,2,02131210,,02135200,37.47,Great Pee Dee River,33.69833,-79.19717,HWM/HWM_20180831_20180918_785518W334219N/HWM_10_0m_20180831_20180918_785518W334219N_BM,HWM,1,03040206;03040207;03040208,50.71,17.36,02131210;02135200,2,96.0,8.490461415527195e-05,1_iris_v3.3,True,True,True
74222700151,2,07364535,,07367005,22.07,Ouachita River,32.57981,-92.10383,HWM/HWM_20160308_20160313_920434W322919N/HWM_10_0m_20160308_20160313_920434W322919N_BM,HWM,1,08040202;08040206;08040207;08050001,38.07,9.51,07364535;07367005,2,150.0,0.0002210873617328,1_iris_v2.6,True,True,True
74222700141,2,07364535,07367005,,22.07,Ouachita River,32.49461,-92.12617,HWM/HWM_20160308_20160313_920434W322919N/HWM_10_0m_20160308_20160313_920434W322919N_BM,HWM,1,08040202;08040206;08040207;08050001,47.58,,07364535;07367005,2,150.0,1.4707812426744688e-05,1_iris_v2.6,True,True,True
74252300061,2,07076750,,07077000,37.42,White River,34.90603,-91.45328,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,50.31,20.14,07076750;07077000,2,166.0,7.635558770501239e-05,1_iris_v2.6,True,True,True
74252300071,2,07076750,,07077000,37.42,White River,34.96586,-91.48082,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,40.28,30.17,07076750;07077000,2,190.0,4.432596126290224e-05,1_iris_v2.6,True,True,True
74252300081,2,07076750,,07077000,37.42,White River,35.0193,-91.47693,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,30.2,40.25,07076750;07077000,2,195.0,8.286676083369543e-05,1_iris_v2.6,True,True,True
74252300091,2,07076750,,07077000,37.42,White River,35.05522,-91.45731,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,20.14,50.31,07076750;07077000,2,177.5,6.834552890944101e-05,1_iris_v2.6,True,True,True
74252300111,2,07074850,07076750,,19.19,White River,35.12777,-91.44361,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,53.83,,07074850;07076750,2,203.0,5.361789786472656e-05,1_iris_v3.3,True,True,True
74252300121,2,07074850,,07076750,19.19,White River,35.16488,-91.44101,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,43.76,10.06,07074850;07076750,2,181.0,4.925946812235467e-05,1_iris_v3.3,True,True,True
74252500011,2,07074850,,07076750,19.19,White River,35.19687,-91.40252,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,31.71,22.12,07074850;07076750,2,127.0,6.240758211225303e-05,1_iris_v3.3,True,True,True
74252500021,2,07074850,,07076750,19.19,White River,35.22155,-91.38432,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,19.67,34.16,07074850;07076750,2,138.0,6.612232808982353e-05,1_iris_v3.3,True,True,True
74252500031,2,07074850,,07076750,19.19,White River,35.26428,-91.3789,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,9.83,44.0,07074850;07076750,2,137.0,6.938169897610858e-05,1_iris_v3.3,True,True,True
74252500041,2,,07074850,07076750,19.19,White River,35.28849,-91.39411,Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,1,08020301;08020302;08020303;11010013;11010014,,53.83,07074850;07076750,2,123.0,5.339098089563151e-05,1_iris_v3.3,True,True,True
74261000011,2,03612600,370000089094501,,22.07,Ohio River,37.03852,-89.16499,Tier_3/S1A_20170504T23553_891934W365313N/S1A_9_6m_20170504T23553_891934W365313N_BM;Tier_3/S1A_20190530T23555_892649W371820N/S1A_9_7m_20190530T23555_892649W371820N_BM,Tier_3,2,05140206;07140105;07140107;07140108;08010100;08010201;08010202;08010300;08020204;05140206;07140105;07140106;07140107;07140108;08010100;08010201;08010300;08020204,11.53,,03612600;370000089094501,2,1026.0,3.136661210544568e-05,1_iris_v2.6,True,True,True
74261000021,2,03612600,,370000089094501,22.07,Ohio River,37.13861,-89.0962,Tier_3/S1A_20170504T23553_891934W365313N/S1A_9_6m_20170504T23553_891934W365313N_BM;Tier_3/S1A_20190530T23555_892649W371820N/S1A_9_7m_20190530T23555_892649W371820N_BM,Tier_3,2,05140206;07140105;07140107;07140108;08010100;08010201;08010202;08010300;08020204;05140206;07140105;07140106;07140107;07140108;08010100;08010201;08010300;08020204,0.37,11.15,03612600;370000089094501,2,1129.0,3.556666622762348e-05,1_iris_v2.6,True,True,True
74261000041,2,03611000,,03612600,42.04,Ohio River,37.2153,-89.00266,Tier_3/S1A_20170504T23553_891934W365313N/S1A_9_6m_20170504T23553_891934W365313N_BM;Tier_3/S1A_20190530T23555_892649W371820N/S1A_9_7m_20190530T23555_892649W371820N_BM,Tier_3,2,05140206;07140105;07140107;07140108;08010100;08010201;08010202;08010300;08020204;05140206;07140105;07140106;07140107;07140108;08010100;08010201;08010300;08020204,38.97,11.51,03611000;03612600,2,1523.0,1.6598441370349414e-05,1_iris_v2.6,True,True,True
74270100061,2,07020850,07022000,,10.34,Mississippi River,37.23201,-89.47647,Tier_3/S1A_20170504T23553_891934W365313N/S1A_9_6m_20170504T23553_891934W365313N_BM;Tier_3/S1A_20190530T23555_892649W371820N/S1A_9_7m_20190530T23555_892649W371820N_BM,Tier_3,2,05140206;07140105;07140107;07140108;08010100;08010201;08010202;08010300;08020204;05140206;07140105;07140106;07140107;07140108;08010100;08010201;08010300;08020204,19.5,,07020850;07022000,2,768.0,0.0001192639392331,1_iris_v2.6,True,True,True
74270800011,2,07019210,07019300,,8.68,Meramec River,38.43766,-90.34691,HWM/HWM_20151226_20160105_902656W383031N/HWM_10_0m_20151226_20160105_902656W383031N_BM,HWM,1,07140102,30.5,,07019210;07019300,2,92.0,6.49759172438893e-05,1_iris_v2.6,True,True,True
74270800021,2,07019210,,07019300,8.68,Meramec River,38.47329,-90.40824,HWM/HWM_20151226_20160105_902656W383031N/HWM_10_0m_20151226_20160105_902656W383031N_BM,HWM,1,07140102,18.37,12.13,07019210;07019300,2,84.0,7.799237454367439e-05,1_iris_v2.6,True,True,True
